t01	laptop charger phone headphones
t02	tablet mouse keyboard
t03	cable monitor printer
t04	laptop charger speaker
t05	phone headphones webcam
t06	mouse keyboard router
t07	laptop cable harddrive
t08	charger tablet ssd
t09	phone mouse ram
t10	laptop keyboard cpu
t11	headphones cable gpu
t12	tablet charger battery
t13	laptop phone case
t14	mouse keyboard monitor
t15	charger cable printer
t16	laptop headphones speaker
t17	phone tablet webcam
t18	keyboard mouse router
t19	laptop charger ssd
t20	tablet headphones harddrive
t21	phone cable ram
t22	laptop mouse cpu
