t01	laptop charger cable
t02	phone headphones mouse
t03	tablet keyboard monitor
t04	laptop charger printer
t05	phone cable speaker
t06	headphones mouse webcam
t07	laptop keyboard router
t08	charger cable harddrive
t09	phone tablet ssd
t10	laptop headphones ram
t11	mouse keyboard cpu
t12	charger cable gpu
t13	laptop phone battery
t14	tablet headphones case
t15	keyboard monitor charger
t16	laptop mouse printer
t17	phone cable webcam
t18	headphones keyboard router
t19	laptop charger harddrive
t20	tablet mouse ssd
